usage_date,project_id,owner_team,owner_email,monthly_budget_gbp,service,sku,region,cost_gbp
2026-06-01,data-platform-prod,Data Platform,data.owner@company.com,18000,BigQuery,Storage,us-central1,211.68
2026-06-01,data-platform-prod,Data Platform,data.owner@company.com,18000,Dataflow,Network,europe-west2,120.83
2026-06-01,data-platform-prod,Data Platform,data.owner@company.com,18000,Cloud Storage,Logging,global,138.69
2026-06-01,data-platform-prod,Data Platform,data.owner@company.com,18000,Cloud Composer,Analysis,europe-west1,149.71
2026-06-01,data-platform-prod,Data Platform,data.owner@company.com,18000,Cloud Logging,Storage,global,96.6
2026-06-01,data-platform-prod,Data Platform,data.owner@company.com,18000,Pub/Sub,Analysis,europe-west2,46.1
2026-06-01,data-platform-prod,Data Platform,data.owner@company.com,18000,Cloud Functions,Network,global,25.1
2026-06-01,security-analytics-prod,Cloud Security,security.owner@company.com,14000,BigQuery,Storage,global,105.74
2026-06-01,security-analytics-prod,Cloud Security,security.owner@company.com,14000,Dataflow,Logging,europe-west1,462.88
2026-06-01,security-analytics-prod,Cloud Security,security.owner@company.com,14000,Cloud Storage,Orchestration,global,24.01
2026-06-01,security-analytics-prod,Cloud Security,security.owner@company.com,14000,Cloud Composer,Logging,global,75.51
2026-06-01,security-analytics-prod,Cloud Security,security.owner@company.com,14000,Cloud Logging,Compute,global,113.78
2026-06-01,security-analytics-prod,Cloud Security,security.owner@company.com,14000,Pub/Sub,Logging,europe-west1,46.98
2026-06-01,security-analytics-prod,Cloud Security,security.owner@company.com,14000,Cloud Functions,Storage,global,5.89
2026-06-01,risk-reporting-prod,Risk Analytics,risk.owner@company.com,9500,BigQuery,Streaming,europe-west2,381.86
2026-06-01,risk-reporting-prod,Risk Analytics,risk.owner@company.com,9500,Dataflow,Compute,europe-west1,204.52
2026-06-01,risk-reporting-prod,Risk Analytics,risk.owner@company.com,9500,Cloud Storage,Compute,europe-west1,114.03
2026-06-01,risk-reporting-prod,Risk Analytics,risk.owner@company.com,9500,Cloud Composer,Logging,global,153.81
2026-06-01,risk-reporting-prod,Risk Analytics,risk.owner@company.com,9500,Cloud Logging,Storage,europe-west2,118.07
2026-06-01,risk-reporting-prod,Risk Analytics,risk.owner@company.com,9500,Pub/Sub,Network,europe-west1,25.88
2026-06-01,risk-reporting-prod,Risk Analytics,risk.owner@company.com,9500,Cloud Functions,Storage,global,32.31
2026-06-01,customer-analytics-prod,Customer Analytics,analytics.owner@company.com,12000,BigQuery,Compute,global,260.77
2026-06-01,customer-analytics-prod,Customer Analytics,analytics.owner@company.com,12000,Dataflow,Logging,europe-west1,162.21
2026-06-01,customer-analytics-prod,Customer Analytics,analytics.owner@company.com,12000,Cloud Storage,Orchestration,global,112.32
2026-06-01,customer-analytics-prod,Customer Analytics,analytics.owner@company.com,12000,Cloud Composer,Orchestration,us-central1,41.27
2026-06-01,customer-analytics-prod,Customer Analytics,analytics.owner@company.com,12000,Cloud Logging,Compute,global,116.46
2026-06-01,customer-analytics-prod,Customer Analytics,analytics.owner@company.com,12000,Pub/Sub,Storage,global,13.41
2026-06-01,customer-analytics-prod,Customer Analytics,analytics.owner@company.com,12000,Cloud Functions,Compute,us-central1,10.19
2026-06-01,fraud-detection-prod,Fraud Engineering,fraud.owner@company.com,16000,BigQuery,Orchestration,global,474.75
2026-06-01,fraud-detection-prod,Fraud Engineering,fraud.owner@company.com,16000,Dataflow,Storage,global,256.31
2026-06-01,fraud-detection-prod,Fraud Engineering,fraud.owner@company.com,16000,Cloud Storage,Orchestration,global,57.62
2026-06-01,fraud-detection-prod,Fraud Engineering,fraud.owner@company.com,16000,Cloud Composer,Compute,us-central1,140.78
2026-06-01,fraud-detection-prod,Fraud Engineering,fraud.owner@company.com,16000,Cloud Logging,Orchestration,us-central1,99.7
2026-06-01,fraud-detection-prod,Fraud Engineering,fraud.owner@company.com,16000,Pub/Sub,Network,europe-west1,27.05
2026-06-01,fraud-detection-prod,Fraud Engineering,fraud.owner@company.com,16000,Cloud Functions,Storage,europe-west1,16.26
2026-06-02,data-platform-prod,Data Platform,data.owner@company.com,18000,BigQuery,Network,europe-west1,667.66
2026-06-02,data-platform-prod,Data Platform,data.owner@company.com,18000,Dataflow,Analysis,europe-west1,324.95
